"","LUAD","LUSC","PAAD","COAD","HNSC"
"EGFR","0.173913043478261","0.0898876404494382","0.0137931034482759","0.0424528301886792","0.14336917562724"
"PI3K","0.178260869565217","0.550561797752809","0.117241379310345","0.259433962264151","0.412186379928315"
"RAS","0.38695652173913","0.0842696629213483","0.855172413793103","0.5","0.10752688172043"
"AKT","0.121739130434783","0.0955056179775281","0.131034482758621","0.0613207547169811","0.0860215053763441"
"RAF","0.139130434782609","0.0674157303370786","0.0758620689655172","0.113207547169811","0.0681003584229391"
"STAT3","0.0217391304347826","0.0168539325842697","0.0344827586206897","0.0188679245283019","0.014336917562724"
"STAT5B","0.0173913043478261","0.00561797752808989","0.0206896551724138","0.0235849056603774","0.021505376344086"
"NFKB","0.0695652173913043","0.0617977528089888","0.0620689655172414","0.0566037735849057","0.0681003584229391"
"FOXO","0.0173913043478261","0","0","0.0188679245283019","0.017921146953405"
"MEK","0.0173913043478261","0.0224719101123595","0.0137931034482759","0.00943396226415094","0.00716845878136201"
"ERK","0.00869565217391304","0.0280898876404494","0.00689655172413793","0.0141509433962264","0.039426523297491"
"ELK1","0.00869565217391304","0","0.0344827586206897","0","0.046594982078853"
"MYC","0.1","0.050561797752809","0.144827586206897","0.0424528301886792","0.132616487455197"
